gta06_hhld,income,total,Mode
5174,4,115,Transit (Excluding GO rail)
5174,5,42,Transit (Excluding GO rail)
5174,6,94,Transit (Excluding GO rail)
5175,1,490,Transit (Excluding GO rail)
5175,2,469,Transit (Excluding GO rail)
5175,3,128,Transit (Excluding GO rail)
5175,4,37,Transit (Excluding GO rail)
5176,3,23,Transit (Excluding GO rail)
5176,7,222,Transit (Excluding GO rail)
5178,5,111,Transit (Excluding GO rail)
5178,7,26,Transit (Excluding GO rail)
5179,1,24,Transit (Excluding GO rail)
5179,2,646,Transit (Excluding GO rail)
5179,3,100,Transit (Excluding GO rail)
5179,4,34,Transit (Excluding GO rail)
5179,7,118,Transit (Excluding GO rail)
5180,3,57,Transit (Excluding GO rail)
5180,4,83,Transit (Excluding GO rail)
5180,5,24,Transit (Excluding GO rail)
5180,7,67,Transit (Excluding GO rail)
5181,1,167,Transit (Excluding GO rail)
5181,2,1659,Transit (Excluding GO rail)
5181,3,294,Transit (Excluding GO rail)
5181,4,68,Transit (Excluding GO rail)
5181,7,269,Transit (Excluding GO rail)
5183,2,169,Transit (Excluding GO rail)
5183,3,33,Transit (Excluding GO rail)
5183,7,28,Transit (Excluding GO rail)
5186,2,217,Transit (Excluding GO rail)
5186,3,148,Transit (Excluding GO rail)
5186,4,94,Transit (Excluding GO rail)
5186,5,78,Transit (Excluding GO rail)
5186,7,152,Transit (Excluding GO rail)
5187,1,501,Transit (Excluding GO rail)
5187,2,456,Transit (Excluding GO rail)
5187,3,118,Transit (Excluding GO rail)
5187,5,74,Transit (Excluding GO rail)
5187,7,215,Transit (Excluding GO rail)
5188,2,128,Transit (Excluding GO rail)
5188,4,120,Transit (Excluding GO rail)
5191,2,26,Transit (Excluding GO rail)
5191,7,156,Transit (Excluding GO rail)
5192,1,242,Transit (Excluding GO rail)
5192,2,156,Transit (Excluding GO rail)
5192,3,177,Transit (Excluding GO rail)
5192,4,100,Transit (Excluding GO rail)
5192,5,64,Transit (Excluding GO rail)
5192,7,516,Transit (Excluding GO rail)
5194,1,61,Transit (Excluding GO rail)
5194,3,86,Transit (Excluding GO rail)
5194,7,62,Transit (Excluding GO rail)
5195,1,156,Transit (Excluding GO rail)
5195,2,28,Transit (Excluding GO rail)
5195,3,71,Transit (Excluding GO rail)
5195,7,253,Transit (Excluding GO rail)
5196,3,387,Transit (Excluding GO rail)
5196,4,193,Transit (Excluding GO rail)
5196,5,33,Transit (Excluding GO rail)
5196,6,19,Transit (Excluding GO rail)
5196,7,38,Transit (Excluding GO rail)
5198,1,64,Transit (Excluding GO rail)
5198,3,34,Transit (Excluding GO rail)
5198,6,26,Transit (Excluding GO rail)
5199,1,23,Transit (Excluding GO rail)
5199,2,234,Transit (Excluding GO rail)
5199,3,363,Transit (Excluding GO rail)
5199,4,366,Transit (Excluding GO rail)
5199,5,114,Transit (Excluding GO rail)
5199,6,50,Transit (Excluding GO rail)
5200,1,432,Transit (Excluding GO rail)
5200,2,140,Transit (Excluding GO rail)
5200,3,51,Transit (Excluding GO rail)
5200,4,159,Transit (Excluding GO rail)
5200,5,66,Transit (Excluding GO rail)
5200,7,42,Transit (Excluding GO rail)
5201,6,662,Transit (Excluding GO rail)
5202,3,59,Transit (Excluding GO rail)
5202,4,123,Transit (Excluding GO rail)
5203,1,211,Transit (Excluding GO rail)
5203,2,76,Transit (Excluding GO rail)
5203,3,62,Transit (Excluding GO rail)
5203,4,164,Transit (Excluding GO rail)
5203,5,45,Transit (Excluding GO rail)
5203,7,124,Transit (Excluding GO rail)
5204,1,34,Transit (Excluding GO rail)
5204,2,181,Transit (Excluding GO rail)
5204,7,111,Transit (Excluding GO rail)
5205,1,339,Transit (Excluding GO rail)
5205,4,56,Transit (Excluding GO rail)
5205,6,116,Transit (Excluding GO rail)
5206,1,182,Transit (Excluding GO rail)
5206,2,123,Transit (Excluding GO rail)
5206,4,87,Transit (Excluding GO rail)
5207,7,112,Transit (Excluding GO rail)
5208,2,400,Transit (Excluding GO rail)
5208,3,433,Transit (Excluding GO rail)
5208,4,148,Transit (Excluding GO rail)
5208,5,149,Transit (Excluding GO rail)
5208,7,253,Transit (Excluding GO rail)
5212,4,282,Transit (Excluding GO rail)
5212,7,64,Transit (Excluding GO rail)
5223,7,17,Transit (Excluding GO rail)
5226,7,26,Transit (Excluding GO rail)
5231,6,39,Transit (Excluding GO rail)
5232,6,16,Transit (Excluding GO rail)
5236,5,100,Transit (Excluding GO rail)
5236,6,66,Transit (Excluding GO rail)
5237,7,120,Transit (Excluding GO rail)
5238,4,13,Transit (Excluding GO rail)
5238,6,63,Transit (Excluding GO rail)
5238,7,100,Transit (Excluding GO rail)
5239,2,29,Transit (Excluding GO rail)
5239,3,19,Transit (Excluding GO rail)
5240,1,26,Transit (Excluding GO rail)
5240,7,35,Transit (Excluding GO rail)
5241,1,76,Transit (Excluding GO rail)
5241,2,503,Transit (Excluding GO rail)
5241,3,391,Transit (Excluding GO rail)
5241,4,433,Transit (Excluding GO rail)
5241,5,164,Transit (Excluding GO rail)
5241,6,112,Transit (Excluding GO rail)
5241,7,302,Transit (Excluding GO rail)
5242,4,269,Transit (Excluding GO rail)
5244,4,50,Transit (Excluding GO rail)
5244,7,43,Transit (Excluding GO rail)
5245,3,88,Transit (Excluding GO rail)
5246,5,465,Transit (Excluding GO rail)
5247,6,18,Transit (Excluding GO rail)
5248,7,17,Transit (Excluding GO rail)
5252,2,53,Transit (Excluding GO rail)
5005,4,45,Cycle
