Thu Apr 15 2021 21:02:30 GMT-0400 (Eastern Daylight Time) - Run Time: 2260ms

Cross Tabulation Query Form - Trip - 2016 v1.1

Row: 2006 GTA zone of household - gta06_hhld
Column: Income range of household - income
Table: Primary travel mode of trip - mode_prime


Filters:
Regional municipality of household - region_hhld In 6, 

Trip 2016
ROW : gta06_hhld
COLUMN : income

TABLE    : mode_prime (Transit excluding GO rail)

  gta06_hhld      income      total
        5175           6        225
        5175           7        559
        5176           2        381
        5176           3       3161
        5176           4        195
        5176           5        193
        5176           7        335
        5177           2        384
        5177           3        375
        5177           4       1194
        5177           5        551
        5177           6        375
        5177           7        329
        5178           2        249
        5178           3        302
        5178           4        547
        5178           5        879
        5178           6        933
        5178           7        758
        5179           1        189
        5179           2        576
        5179           3       1420
        5179           4        383
        5179           5        414
        5179           6        144
        5179           7        610
        5180           2        375
        5180           3        841
        5180           4       1241
        5180           5       1701
        5180           6        731
        5180           7        188
        5181           1         71
        5181           2       1052
        5181           3       1503
        5181           4        132
        5181           5        114
        5181           7        451
        5182           1        113
        5182           3        849
        5182           4       1142
        5182           6        206
        5182           7        188
        5183           2        265
        5183           3        224
        5183           4       1235
        5183           7        217
        5184           3        172
        5184           6        246
        5186           2        540
        5186           3         17
        5186           4        266
        5186           5        529
        5186           7         54
        5187           1        816
        5187           2        164
        5187           3        264
        5187           4        789
        5187           5        313
        5187           6       1698
        5187           7        154
        5188           2        195
        5188           3        348
        5188           4        166
        5188           7        529
        5190           4        134
        5191           2        351
        5191           3        508
        5191           4        514
        5191           5        702
        5191           6       1735
        5191           7       1281
        5192           1         29
        5192           2        180
        5192           3        366
        5192           4        173
        5192           5        282
        5192           6        615
        5192           7        122
        5193           7        163
        5194           2        162
        5194           3        301
        5194           4       2273
        5194           5        386
        5194           7         47
        5195           1         43
        5195           2        101
        5195           3        346
        5195           4         73
        5195           5        361
        5196           1         90
        5196           3        471
        5196           4         44
        5196           5        428
        5196           6       1144
        5196           7        194
        5197           2         30
        5197           3        128
        5197           4         42
        5198           2         74
        5198           3        172
        5198           6        602
        5198           7         49
        5199           2        282
        5199           3        380
        5199           4        214
        5199           6        347
        5199           7        208
        5200           1        632
        5200           2       1026
        5200           3        912
        5200           4       1408
        5200           5        478
        5200           6        289
        5200           7        365
        5201           2         29
        5201           4        297
        5201           5        108
        5201           6        265
        5201           7         74
        5202           1         67
        5202           2        187
        5202           3        412
        5202           4       1611
        5202           5        365
        5202           6        546
        5202           7       1315
        5203           2        145
        5203           3        724
        5203           4       1165
        5203           5        522
        5203           6       1059
        5203           7        138
        5204           2       1120
        5204           3        162
        5204           4        299
        5204           5         99
        5204           7         16
        5205           2        456
        5205           3       1309
        5205           4       1451
        5205           5        396
        5205           6       1536
        5205           7       1090
        5206           1       1171
        5206           2        516
        5206           3        306
        5206           4        232
        5206           5         73
        5206           6        190
        5207           1        134
        5207           2       1080
        5207           3        658
        5207           4        950
        5207           5       1500
        5207           6       3007
        5207           7        745
        5208           1         24
        5208           2        344
        5208           3       1653
        5208           4       2126
        5208           5        452
        5208           6       1532
        5208           7        651
        5210           1         64
        5210           2        220
        5210           7         99
        5212           1         91
        5212           2        192
        5212           3        427
        5212           4       1320
        5212           5        459
        5212           6        544
        5212           7        175
        5213           4        183
        5214           4        228
        5214           5         74
        5214           6        148
        5214           7         94
        5215           2         80
        5215           4        159
        5215           6        592
        5216           2        410
        5216           3       1612
        5216           4       1371
        5216           5       1311
        5216           6       1162
        5216           7        457
        5219           1        186
        5219           2        303
        5219           3        413
        5219           4        661
        5219           5       1130
        5219           6        764
        5219           7        380
        5223           2        229
        5223           3        174
        5223           4        412
        5223           5        620
        5223           6       1505
        5223           7        825
        5224           3        213
        5224           4        467
        5224           5        105
        5224           6       2267
        5224           7        290
        5225           2         44
        5225           3        126
        5225           4        427
        5225           5        194
        5225           6        230
        5225           7         38
        5226           1         28
        5226           3        495
        5226           4        443
        5226           5        371
        5226           6       3633
        5226           7       1359
        5227           2         66
        5227           3         44
        5227           5        133
        5227           6        385
        5227           7         77
        5228           2         55
        5228           7        215
        5229           2        244
        5229           3        207
        5229           4        635
        5229           5        722
        5229           6       3525
        5229           7        142
        5230           3        502
        5230           4       2078
        5230           5       1362
        5230           6        948
        5230           7       1203
        5231           2        332
        5231           3         52
        5231           4       1285
        5231           5        164
        5231           6       1622
        5231           7        377
        5232           1        142
        5232           2        302
        5232           3       1878
        5232           4        708
        5232           5       2352
        5232           6       3892
        5232           7       1740
        5233           2         69
        5233           3        393
        5233           4        179
        5233           5        866
        5233           6       1823
        5233           7        372
        5234           3         73
        5234           5        645
        5234           6        636
        5234           7        124
        5235           3        114
        5235           4        168
        5235           5        438
        5235           6        333
        5236           3        112
        5236           4       1208
        5236           5        399
        5236           6        876
        5236           7        257
        5237           1         32
        5237           2        143
        5237           3        490
        5237           4       1344
        5237           5       2261
        5237           6        340
        5237           7       1913
        5238           2        518
        5238           3        528
        5238           4        985
        5238           5        462
        5238           6       3026
        5238           7        666
        5239           2        903
        5239           3        317
        5239           4       1253
        5239           5       1905
        5239           6        486
        5239           7        989
        5240           2        140
        5240           3        234
        5240           4        517
        5240           5         26
        5240           6        362
        5240           7        432
        5241           1        163
        5241           2       1321
        5241           3        891
        5241           4       1063
        5241           5       1139
        5241           6       1148
        5241           7       4197
