gta06_hhld,age,population,income
5066,74,22,2
5066,80,33,2
5066,81,20,2
5066,82,72,2
5066,85,23,2
5067,64,14,2
5067,70,14,2
5067,76,11,2
5067,78,14,2
5067,80,16,2
5068,22,63,2
5068,41,19,2
5068,58,63,2
5068,59,63,2
5068,60,61,2
5068,64,30,2
5068,66,26,2
5068,67,67,2
5068,68,19,2
5068,69,20,2
5068,70,19,2
5068,72,20,2
5068,73,56,2
5068,76,60,2
5068,77,35,2
5068,79,35,2
5068,81,35,2
5068,86,25,2
5069,0,151,2
5069,4,151,2
5069,13,151,2
5069,21,58,2
5069,24,29,2
5069,29,151,2
5069,36,151,2
5069,49,58,2
5069,54,46,2
5069,56,25,2
5069,62,86,2
5069,63,25,2
5069,67,18,2
5069,69,29,2
5069,70,18,2
5069,71,19,2
5069,76,17,2
5069,81,42,2
5069,85,17,2
5069,86,24,2
5069,90,50,2
5071,63,14,2
5071,66,12,2
5071,67,14,2
5071,75,12,2
5071,94,14,2
5073,14,125,2
5073,21,63,2
5073,41,63,2
5074,2,44,2
5074,3,44,2
5074,22,61,2
5074,24,61,2
5074,34,44,2
5074,35,44,2
5074,41,61,2
5074,51,52,2
5074,52,42,2
5074,85,23,2
5074,87,25,2
5075,14,71,2
5075,23,71,2
5075,24,71,2
5075,26,46,2
5075,47,71,2
5075,50,71,2
5075,52,46,2
5076,54,8,2
5076,55,8,2
5076,64,17,2
5076,66,17,2
5076,73,8,2
5077,70,14,2
5077,72,14,2
5079,70,60,2
5079,75,40,2
5079,79,40,2
5079,85,24,2
5079,89,24,2
5081,66,17,2
5081,68,17,2
5081,76,11,2
5081,77,11,2
5081,90,15,2
5082,9,36,2
5082,18,38,2
5082,22,168,2
5082,51,38,2
5082,52,38,2
5082,55,32,2
5082,61,33,2
5082,62,33,2
5082,64,72,2
5082,79,34,2
5082,80,25,2
5082,85,34,2
5082,86,38,2
5084,3,16,2
5084,27,16,2
5084,41,16,2
5084,42,27,2
5084,72,27,2
5086,10,56,2
5086,45,17,2
5086,50,56,2
5086,52,11,2
5086,54,56,2
5086,65,17,2
5086,69,22,2
5086,70,47,2
5086,71,28,2
5086,74,30,2
5086,76,11,2
5086,77,17,2
5086,80,14,2
5086,81,23,2
5086,82,23,2
5086,85,16,2
5086,86,16,2
5087,71,28,2
5087,73,28,2
5087,93,25,2
5088,76,14,2
5088,81,17,2
5088,89,17,2
5089,26,36,2
5089,49,31,2
5089,54,47,2
5089,55,32,2
5089,56,36,2
5089,59,36,2
5089,73,31,2
5089,74,20,2
5089,76,25,2
5089,82,23,2
5089,88,23,2
5090,61,25,2
5090,67,25,2
5090,68,21,2
5090,77,21,2
5090,78,22,2
5091,3,90,2
5091,7,90,2
5091,8,90,2
5091,20,51,2
5091,26,51,2
5091,32,90,2
5091,37,90,2
5091,55,51,2
5091,65,26,2
5091,68,41,2
5091,70,28,2
5091,72,26,2
5091,73,27,2
5091,75,28,2
5091,76,28,2
